wl,sci,sce
360,6.25000000,3.99000000
370,7.68000000,5.39000000
380,11.27000000,8.95000000
390,19.67000000,17.33000000
400,33.11000000,30.75000000
410,43.31000000,40.92000000
420,45.61000000,43.20000000
430,45.78000000,43.36000000
440,45.74000000,43.31000000
450,45.93000000,43.51000000
460,46.19000000,43.77000000
470,46.31000000,43.90000000
480,46.51000000,44.11000000
490,46.70000000,44.30000000
500,46.80000000,44.41000000
510,47.00000000,44.61000000
520,47.18000000,44.80000000
530,47.25000000,44.87000000
540,47.42000000,45.05000000
550,47.57000000,45.21000000
560,47.82000000,45.46000000
570,48.03000000,45.66000000
580,48.26000000,45.90000000
590,48.23000000,45.86000000
600,48.03000000,45.67000000
610,47.85000000,45.49000000
620,47.64000000,45.29000000
630,47.48000000,45.12000000
640,47.23000000,44.88000000
650,47.06000000,44.72000000
660,46.85000000,44.51000000
670,46.54000000,44.20000000
680,46.32000000,43.98000000
690,46.10000000,43.76000000
700,45.78000000,43.45000000
710,45.61000000,43.28000000
720,45.36000000,43.03000000
730,45.06000000,42.73000000
740,44.81000000,42.48000000
