wl,sci,sce
400,5.74000000,5.35000000
410,5.70000000,5.31000000
420,5.62000000,5.24000000
430,5.59000000,5.21000000
440,5.54000000,5.16000000
450,5.52000000,5.15000000
460,5.50000000,5.13000000
470,5.48000000,5.11000000
480,5.45000000,5.08000000
490,5.43000000,5.06000000
500,5.40000000,5.03000000
510,5.39000000,5.02000000
520,5.37000000,5.00000000
530,5.34000000,4.98000000
540,5.34000000,4.98000000
550,5.31000000,4.95000000
560,5.29000000,4.93000000
570,5.28000000,4.92000000
580,5.27000000,4.91000000
590,5.26000000,4.90000000
600,5.24000000,4.88000000
610,5.32000000,4.97000000
620,5.32000000,4.96000000
630,5.30000000,4.94000000
640,5.28000000,4.93000000
650,5.28000000,4.93000000
660,5.28000000,4.94000000
670,5.25000000,4.91000000
680,5.25000000,4.91000000
690,5.23000000,4.88000000
700,5.23000000,4.89000000
710,5.22000000,4.88000000
720,5.20000000,4.85000000
730,5.19000000,4.84000000
740,5.18000000,4.82000000
