wl,sci,sce
360,12.59000000,12.37000000
370,14.05000000,13.83000000
380,15.43000000,15.22000000
390,16.80000000,16.59000000
400,18.18000000,17.99000000
410,19.19000000,19.00000000
420,19.85000000,19.67000000
430,20.38000000,20.20000000
440,20.75000000,20.58000000
450,21.04000000,20.86000000
460,21.23000000,21.06000000
470,21.34000000,21.17000000
480,21.49000000,21.33000000
490,21.77000000,21.61000000
500,22.08000000,21.92000000
510,22.47000000,22.31000000
520,22.86000000,22.70000000
530,23.10000000,22.94000000
540,23.27000000,23.11000000
550,23.37000000,23.22000000
560,23.25000000,23.09000000
570,22.80000000,22.64000000
580,22.49000000,22.34000000
590,22.49000000,22.34000000
600,22.77000000,22.62000000
610,23.26000000,23.11000000
620,23.49000000,23.35000000
630,23.72000000,23.58000000
640,24.13000000,24.00000000
650,24.74000000,24.61000000
660,25.67000000,25.55000000
670,26.87000000,26.75000000
680,28.47000000,28.35000000
690,30.26000000,30.13000000
700,31.97000000,31.85000000
710,33.69000000,33.56000000
720,34.92000000,34.80000000
730,36.07000000,35.94000000
740,37.07000000,36.93000000
