wl,sci,sce
360,6.51000000,6.48000000
370,7.16000000,7.14000000
380,7.17000000,7.15000000
390,6.77000000,6.75000000
400,6.33000000,6.31000000
410,5.93000000,5.92000000
420,5.64000000,5.63000000
430,5.44000000,5.43000000
440,5.30000000,5.29000000
450,5.21000000,5.20000000
460,5.16000000,5.15000000
470,5.15000000,5.14000000
480,5.15000000,5.14000000
490,5.18000000,5.18000000
500,5.20000000,5.19000000
510,5.21000000,5.20000000
520,5.21000000,5.21000000
530,5.17000000,5.17000000
540,5.12000000,5.12000000
550,5.06000000,5.06000000
560,5.03000000,5.03000000
570,4.98000000,4.97000000
580,4.83000000,4.83000000
590,4.69000000,4.69000000
600,4.68000000,4.68000000
610,4.77000000,4.78000000
620,4.76000000,4.76000000
630,4.67000000,4.68000000
640,4.76000000,4.77000000
650,5.33000000,5.34000000
660,6.83000000,6.86000000
670,9.75000000,9.80000000
680,14.31000000,14.36000000
690,20.11000000,20.16000000
700,25.64000000,25.70000000
710,29.57000000,29.64000000
720,32.00000000,32.07000000
730,33.53000000,33.60000000
740,34.46000000,34.54000000
