wl,sci,sce
360,8.06000000,7.43000000
370,10.00000000,9.26000000
380,14.34000000,13.49000000
390,24.93000000,23.96000000
400,45.13000000,44.05000000
410,66.83000000,65.63000000
420,77.17000000,75.86000000
430,79.41000000,78.02000000
440,80.29000000,78.81000000
450,80.96000000,79.44000000
460,81.49000000,79.97000000
470,81.65000000,80.14000000
480,81.80000000,80.32000000
490,81.91000000,80.45000000
500,81.88000000,80.45000000
510,81.79000000,80.38000000
520,81.56000000,80.18000000
530,81.20000000,79.84000000
540,80.97000000,79.65000000
550,80.71000000,79.41000000
560,80.37000000,79.09000000
570,80.10000000,78.83000000
580,80.01000000,78.76000000
590,79.84000000,78.60000000
600,79.64000000,78.43000000
610,79.48000000,78.28000000
620,79.29000000,78.11000000
630,79.17000000,78.00000000
640,79.10000000,77.97000000
650,78.98000000,77.86000000
660,78.81000000,77.72000000
670,78.69000000,77.60000000
680,78.50000000,77.42000000
690,78.47000000,77.40000000
700,78.22000000,77.18000000
710,77.96000000,76.93000000
720,77.79000000,76.78000000
730,77.48000000,76.48000000
740,77.13000000,76.14000000
