wl,sci,sce
360,5.47000000,5.35000000
370,6.06000000,5.94000000
380,6.62000000,6.51000000
390,7.13000000,7.02000000
400,7.32000000,7.20000000
410,7.10000000,6.99000000
420,6.84000000,6.73000000
430,6.65000000,6.54000000
440,6.45000000,6.34000000
450,6.25000000,6.14000000
460,6.08000000,5.97000000
470,5.98000000,5.87000000
480,5.88000000,5.78000000
490,5.86000000,5.75000000
500,5.89000000,5.78000000
510,5.83000000,5.72000000
520,5.80000000,5.69000000
530,5.81000000,5.69000000
540,5.71000000,5.59000000
550,5.62000000,5.49000000
560,6.05000000,5.92000000
570,8.18000000,8.04000000
580,14.10000000,13.94000000
590,25.46000000,25.30000000
600,39.60000000,39.43000000
610,51.84000000,51.67000000
620,59.81000000,59.63000000
630,63.60000000,63.42000000
640,65.19000000,65.02000000
650,65.98000000,65.81000000
660,66.44000000,66.30000000
670,66.65000000,66.51000000
680,66.75000000,66.60000000
690,66.92000000,66.79000000
700,67.11000000,66.98000000
710,67.28000000,67.14000000
720,67.47000000,67.32000000
730,67.80000000,67.65000000
740,67.97000000,67.82000000
