wl,sci,sce
360,6.71000000,6.61000000
370,6.93000000,6.84000000
380,7.22000000,7.14000000
390,7.48000000,7.40000000
400,7.76000000,7.68000000
410,8.00000000,7.93000000
420,8.22000000,8.15000000
430,8.47000000,8.40000000
440,8.62000000,8.56000000
450,8.79000000,8.73000000
460,8.91000000,8.85000000
470,9.03000000,8.97000000
480,9.12000000,9.06000000
490,9.29000000,9.24000000
500,9.43000000,9.38000000
510,9.55000000,9.50000000
520,9.66000000,9.62000000
530,9.78000000,9.74000000
540,9.95000000,9.91000000
550,10.10000000,10.07000000
560,10.22000000,10.18000000
570,10.32000000,10.29000000
580,10.45000000,10.42000000
590,10.54000000,10.51000000
600,10.59000000,10.56000000
610,10.66000000,10.63000000
620,10.71000000,10.68000000
630,10.77000000,10.75000000
640,10.85000000,10.83000000
650,10.93000000,10.91000000
660,10.99000000,10.98000000
670,11.03000000,11.02000000
680,11.08000000,11.07000000
690,11.26000000,11.26000000
700,11.42000000,11.42000000
710,11.54000000,11.55000000
720,11.62000000,11.63000000
730,11.70000000,11.72000000
740,11.80000000,11.82000000
