wl,sci,sce
360,52.30000000,48.34000000
370,57.85000000,53.91000000
380,61.86000000,57.95000000
390,64.65000000,60.77000000
400,66.92000000,63.08000000
410,68.42000000,64.61000000
420,69.57000000,65.80000000
430,70.34000000,66.59000000
440,71.01000000,67.29000000
450,71.92000000,68.23000000
460,72.85000000,69.18000000
470,73.86000000,70.21000000
480,74.82000000,71.18000000
490,75.74000000,72.10000000
500,76.48000000,72.85000000
510,76.97000000,73.35000000
520,77.35000000,73.73000000
530,77.51000000,73.90000000
540,77.82000000,74.20000000
550,78.17000000,74.55000000
560,78.66000000,75.03000000
570,79.34000000,75.70000000
580,79.80000000,76.16000000
590,80.18000000,76.53000000
600,80.55000000,76.90000000
610,80.76000000,77.10000000
620,80.83000000,77.17000000
630,80.88000000,77.21000000
640,80.94000000,77.27000000
650,80.84000000,77.17000000
660,81.03000000,77.34000000
670,81.28000000,77.59000000
680,81.52000000,77.83000000
690,81.72000000,78.03000000
700,81.82000000,78.12000000
710,82.07000000,78.38000000
720,82.13000000,78.44000000
730,82.30000000,78.62000000
740,82.33000000,78.65000000
