wl,sci,sce
360,7.73000000,7.65000000
370,9.31000000,9.20000000
380,13.14000000,12.96000000
390,23.08000000,22.86000000
400,43.79000000,43.51000000
410,67.91000000,67.57000000
420,78.63000000,78.24000000
430,80.12000000,79.69000000
440,80.29000000,79.82000000
450,80.43000000,79.96000000
460,80.51000000,80.03000000
470,80.50000000,80.04000000
480,80.70000000,80.24000000
490,81.72000000,81.27000000
500,83.70000000,83.26000000
510,85.38000000,84.96000000
520,85.87000000,85.46000000
530,85.79000000,85.40000000
540,85.81000000,85.43000000
550,85.85000000,85.48000000
560,85.80000000,85.44000000
570,85.83000000,85.49000000
580,86.00000000,85.69000000
590,86.24000000,85.94000000
600,86.47000000,86.18000000
610,86.56000000,86.28000000
620,86.44000000,86.16000000
630,86.46000000,86.19000000
640,86.60000000,86.35000000
650,86.93000000,86.69000000
660,87.00000000,86.78000000
670,87.24000000,87.04000000
680,87.17000000,86.99000000
690,87.28000000,87.12000000
700,87.12000000,86.95000000
710,87.06000000,86.89000000
720,87.14000000,86.96000000
730,87.17000000,86.97000000
740,87.31000000,87.11000000
