wl,sci,sce
360,7.08000000,3.37000000
370,8.41000000,4.69000000
380,10.83000000,7.11000000
390,14.61000000,10.89000000
400,18.54000000,14.83000000
410,20.25000000,16.55000000
420,20.35000000,16.65000000
430,20.20000000,16.52000000
440,20.01000000,16.36000000
450,19.93000000,16.31000000
460,19.89000000,16.29000000
470,19.83000000,16.27000000
480,19.86000000,16.32000000
490,19.91000000,16.38000000
500,19.91000000,16.40000000
510,19.95000000,16.46000000
520,19.97000000,16.49000000
530,19.94000000,16.48000000
540,19.95000000,16.50000000
550,19.94000000,16.49000000
560,19.95000000,16.51000000
570,19.98000000,16.55000000
580,19.98000000,16.55000000
590,19.92000000,16.50000000
600,19.80000000,16.39000000
610,19.63000000,16.22000000
620,19.45000000,16.04000000
630,19.29000000,15.89000000
640,19.08000000,15.68000000
650,18.93000000,15.54000000
660,18.75000000,15.36000000
670,18.59000000,15.21000000
680,18.40000000,15.02000000
690,18.28000000,14.90000000
700,18.08000000,14.71000000
710,17.91000000,14.55000000
720,17.73000000,14.37000000
730,17.60000000,14.24000000
740,17.48000000,14.12000000
