wl,sci,sce
360,5.45000000,3.53000000
370,6.19000000,4.26000000
380,7.73000000,5.79000000
390,10.43000000,8.48000000
400,13.75000000,11.80000000
410,15.98000000,14.03000000
420,16.99000000,15.03000000
430,17.73000000,15.77000000
440,18.48000000,16.53000000
450,19.36000000,17.40000000
460,20.52000000,18.56000000
470,21.94000000,19.98000000
480,23.22000000,21.26000000
490,24.29000000,22.34000000
500,25.96000000,24.00000000
510,28.19000000,26.22000000
520,30.45000000,28.48000000
530,32.25000000,30.27000000
540,33.80000000,31.83000000
550,35.25000000,33.27000000
560,36.68000000,34.69000000
570,38.03000000,36.03000000
580,39.42000000,37.41000000
590,40.78000000,38.77000000
600,42.07000000,40.04000000
610,43.49000000,41.46000000
620,45.05000000,43.01000000
630,46.72000000,44.67000000
640,48.58000000,46.52000000
650,50.50000000,48.43000000
660,52.52000000,50.45000000
670,54.71000000,52.62000000
680,56.99000000,54.89000000
690,59.30000000,57.19000000
700,61.30000000,59.18000000
710,63.20000000,61.08000000
720,64.77000000,62.64000000
730,66.20000000,64.07000000
740,68.03000000,65.90000000
